service_id,date,exception_type
4401,20220328,1
4501,20220329,1
4401,20220330,1
4401,20220331,1
4501,20220401,1
4401,20220404,1
4501,20220405,1
4401,20220406,1
4401,20220407,1
4501,20220408,1
4401,20220411,1
4501,20220412,1
4401,20220413,1
4401,20220414,1
4,20220415,1
1,20220415,2
4401,20220418,1
4501,20220419,1
4401,20220420,1
4401,20220421,1
4501,20220422,1
4401,20220425,1
4501,20220426,1
4401,20220427,1
4401,20220428,1
4501,20220429,1
4401,20220502,1
4501,20220503,1
4401,20220504,1
4401,20220505,1
4501,20220506,1
