"Neighbourhood","Neighbourhood Id","Combined Indicators","Total Population","Part-Time Employment","Low Income Families"
"West Humber-Clairville",1.0,"N/A",33312.0,13305.0,3790.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",32954.0,945.0,5010.0
"Thistletown-Beaumond Heights",3.0,"N/A",10360.0,527.0,1080.0
"Rexdale-Kipling",4.0,"N/A",10529.0,515.0,1110.0
"Elms-Old Rexdale",5.0,"N/A",9456.0,392.0,1190.0
"Kingsview Village-The Westway",6.0,"N/A",22000.0,748.0,2800.0
"Willowridge-Martingrove-Richview",7.0,"N/A",22156.0,609.0,1610.0
"Humber Heights-Westmount",8.0,"N/A",10948.0,315.0,820.0
"Edenbridge-Humber Valley",9.0,"N/A",15535.0,541.0,900.0
"Princess-Rosethorn",10.0,"N/A",11051.0,425.0,460.0
"Eringate-Centennial-West Deane",11.0,"N/A",18588.0,713.0,1060.0
"Markland Wood",12.0,"N/A",10554.0,594.0,510.0
"Etobicoke West Mall",13.0,"N/A",11848.0,661.0,980.0
"Islington-City Centre West",14.0,"N/A",43965.0,13461.0,6140.0
"Kingsway South",15.0,"N/A",9271.0,1008.0,260.0
"Stonegate-Queensway",16.0,"N/A",25051.0,1908.0,1740.0
"Mimico",17.0,"N/A",33964.0,1786.0,2720.0
"New Toronto",18.0,"N/A",11463.0,1836.0,1430.0
"Long Branch",19.0,"N/A",10084.0,357.0,940.0
"Alderwood",20.0,"N/A",12054.0,951.0,640.0
"Humber Summit",21.0,"N/A",12416.0,2141.0,1570.0
"Humbermede",22.0,"N/A",15545.0,624.0,1860.0
"Pelmo Park-Humberlea",23.0,"N/A",10722.0,833.0,710.0
"Black Creek",24.0,"N/A",21737.0,759.0,3680.0
"Glenfield-Jane Heights",25.0,"N/A",30491.0,1714.0,4420.0
"Downsview-Roding-CFB",26.0,"N/A",35052.0,4334.0,4060.0
"York University Heights",27.0,"N/A",27593.0,11541.0,4490.0
"Rustic",28.0,"N/A",9941.0,163.0,1340.0
"Maple Leaf",29.0,"N/A",10111.0,142.0,880.0
"Brookhaven-Amesbury",30.0,"N/A",17757.0,1177.0,2320.0
"Yorkdale-Glen Park",31.0,"N/A",14804.0,7556.0,1470.0
"Englemount-Lawrence",32.0,"N/A",22372.0,1331.0,2470.0
"Clanton Park",33.0,"N/A",16472.0,1155.0,1410.0
"Bathurst Manor",34.0,"N/A",15873.0,881.0,1440.0
"Westminster-Branson",35.0,"N/A",26274.0,652.0,3500.0
"Newtonbrook West",36.0,"N/A",23831.0,2038.0,3480.0
"Willowdale West",37.0,"N/A",16936.0,687.0,1670.0
"Lansing-Westgate",38.0,"N/A",16164.0,1410.0,7560.0
"Bedford Park-Nortown",39.0,"N/A",23236.0,1809.0,1340.0
"St.Andrew-Windfields",40.0,"N/A",17812.0,1694.0,1590.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",9266.0,4065.0,460.0
"Banbury-Don Mills",42.0,"N/A",27695.0,4996.0,2000.0
"Victoria Village",43.0,"N/A",17510.0,1337.0,2040.0
"Flemingdon Park",44.0,"N/A",21933.0,629.0,3290.0
"Parkwoods-Donalda",45.0,"N/A",34805.0,859.0,3370.0
"Pleasant View",46.0,"N/A",15818.0,547.0,1730.0
"Don Valley Village",47.0,"N/A",27051.0,3208.0,3430.0
"Hillcrest Village",48.0,"N/A",16934.0,2793.0,2180.0
"Bayview Woods-Steeles",49.0,"N/A",13154.0,1068.0,1420.0
"Newtonbrook East",50.0,"N/A",16097.0,1644.0,2380.0
"Willowdale East",51.0,"N/A",50434.0,2784.0,6260.0
"Bayview Village",52.0,"N/A",21396.0,4173.0,2090.0
"Henry Farm",53.0,"N/A",15723.0,3148.0,2060.0
"O'Connor-Parkview",54.0,"N/A",18675.0,998.0,2000.0
