,Location,Minute Delay
0,QUEEN AND MCCAUL,24.0
1,BROADVIEW AND QUEEN,30.0
2,BROADVIEW STATION,30.0
3,DUNDAS WEST STATION,30.0
4,MAIN STATION,20.0
5,TORONTO TRANSIT COMMIS,0.0
6,RUSSELL YARD,20.0
7,KING AND QUEEN,20.0
8,BATHURST AND QUEEN,16.0
9,ST CLAIR STATION,12.0
10,ST CLAIR STATION,12.0
11,KING AND QUEEN,16.0
12,SPADINA AND QUEEN,14.0
13,ST CLAIR AND DUFFERIN,10.0
14,SPADINA AND QUEENS QUA,14.0
15,CHARLOTTE LOOP,14.0
16,DUNDAS WEST STATION,14.0
17,SPADINA STATION,14.0
18,SPADINA AND KING,14.0
19,MAIN STREET STATION,14.0
20,EXHIBITION LOOP,0.0
21,EXHIBITION LOOP,0.0
22,EXHIBITION LOOP,0.0
23,EXHIBITION LOOP,0.0
24,EXHIBITION LOOP,0.0
25,COLLEGE AND DUFFERIN,14.0
26,DUNDAS WEST STATION,14.0
27,EXHIBITION LOOP,0.0
28,EXHIBITION LOOP,0.0
29,EXHIBITION LOOP,0.0
30,EXHIBITION LOOP,0.0
31,EXHIBITION LOOP,0.0
32,EXHIBITION LOOP,0.0
33,QUEEN AND CONNAUGHT,20.0
34,EXHIBITION LOOP,20.0
35,QUEEN AND CONNAUGHT,20.0
36,DUNDAS WEST STATION,16.0
37,DUNDAS AND RONCESVALLE,12.0
38,EXHIBITION LOOP,0.0
39,MAIN STREET STATION,14.0
40,MAIN STREET STATION,14.0
41,BROADVIEW STATION,20.0
42,BROADVIEW STATION,20.0
43,KINGSTON ROAD LOOP,20.0
44,DUNDAS AND LANSDOWN,12.0
45,BROADVIEW STATION,12.0
46,LONG BRANCH LOOP,20.0
47,QUEEN AND YORK,20.0
48,KING AND RIVER,20.0
49,ST CLAIR AND VAUGHAN,0.0
50,DUNDAS WEST STATION,30.0
51,COLLEGE AND DUNDAS,40.0
52,DUNDAS AND YONGE,27.0
53,SPADINA AND KING,20.0
54,DUNDAS AND BORADVIEW,20.0
55,BATHURST AND FLEET,20.0
56,SPADINA AND KING,20.0
57,COXWELL AND LOWER GERR,20.0
58,MAIN STREET STATION,14.0
59,SPADINA AND KING,6.0
60,ST CLAIR AND BATHURST,10.0
61,SPADINA AND KING,16.0
62,ST CLAIR AND BATHURST,16.0
63,SPADINA AND KING,16.0
64,MAIN STATION,14.0
65,SPADINA AND KING,16.0
66,MAIN STREET STATION,16.0
67,NEVILLE LOOP,31.0
68,EXHIBITION LOOP,8.0
69,QUEENS QUAY AND SPADIN,16.0
70,SPADINA AND QUEEN'S QU,14.0
71,BATHURST AND COLLEGE,14.0
72,KING AND SHERBOURNE,21.0
73,SPADINA AND QUEEN'S QU,14.0
74,BATHURST STATION,10.0
75,QUEEN AND BAY,16.0
76,EXHIBITION LOOP,14.0
77,EXHIBITION LOOP,14.0
78,QUEEN'S QUAY LOOP,14.0
79,EXHIBITION LOOP,14.0
80,EXHIBITION LOOP,14.0
81,SPADINA AND QUEEN'S QU,14.0
82,SPADINA AND QUEEN'S QU,14.0
83,EXHIBITION LOOP,14.0
84,EXHIBITION LOOP,14.0
85,EXHIBITION LOOP,14.0
86,SPADINA AND QUEEN'S QU,14.0
87,SPADINA AND QUEEN'S QU,14.0
88,SPADINA AND QUEEN'S QU,14.0
89,SPADINA AND QUEEN'S QU,14.0
90,EXHIBITION LOOP,12.0
91,KING AND RONCESVALLES,16.0
92,UNION STATION,10.0
93,UNION STATION,10.0
94,KING AND SPADINA,0.0
95,BATHURST STATION,12.0
96,DUNDAS AND SHERBOURNE,0.0
97,KING AND SPADINA,26.0
98,FLEET AND BATHURST,0.0
99,QUEEN AND YONGE,35.0
100,HIGH PARK LOOP TO MAIN,0.0
101,HIGH PARK LOOP TO BROA,0.0
102,LONG BRANCH LOOP,16.0
103,DUNDAS WEST STATION TO,20.0
104,QUEEN AND BROADVIEW,18.0
105,QUEEN AND BROADVIEW,20.0
106,COLLEGE AND MCCAUL,95.0
107,HUMBER LOOP,12.0
108,BATHURST AND COLLEGE,16.0
109,RONCESVALLES AND HOWAR,0.0
110,HOWARD PARK AND RONCES,14.0
111,DUNDAS WEST STATION,9.0
112,BROADVIEW AND DUNDAS,14.0
